chunk_id,source_id,ingredient_ids,locator_type,locator_value,excerpt_summary_ko,claim_type,structured_claim,confidence,notes_ko
CHK-MELATONIN-LABEL-VARIABILITY,SRC-US-NCCIH-MELATONIN,melatonin,lines,L196-L197,멜라토닌 제품은 라벨 표시와 실제 함량이 다를 수 있고 serotonin이 검출된 제품도 보고되었다.,quality_signal,"{""issue"": ""label_content_mismatch"", ""unexpected_constituent"": ""serotonin""}",high,
CHK-MELATONIN-ANALYTICAL-STUDY,SRC-PMID-27855744,melatonin,abstract,PubMed abstract lines 271-273,"31개 멜라토닌 제품 분석에서 표시 대비 -83%~+478% 함량 편차와 최대 465% lot-to-lot 편차가 확인되었고, 일부 제품에서 serotonin이 검출되었다.",quality_signal,"{""label_variability_range"": ""-83% to +478%"", ""lot_variability"": ""up to 465%"", ""unexpected_constituent"": ""serotonin""}",high,
CHK-PROBIOTICS-PREMATURE-INFANTS-NCCIH,SRC-US-NCCIH-PROBIOTICS,probiotics,lines,L115-L117,프로바이오틱스는 미숙아에서 중증 또는 치명적 감염 사례가 보고되어 주의가 필요하다.,population_caution,"{""population"": ""premature_infants"", ""decision"": ""avoid""}",high,
CHK-PROBIOTICS-FDA-PRETERM,SRC-US-FDA-PROBIOTICS-PRETERM-2023,probiotics,lines,L89-L94,"FDA는 hospital setting의 미숙아에게 투여되는 probiotic 제품이 침습성, 잠재적으로 치명적인 감염을 일으킬 수 있다고 경고했다.",government_safety_alert,"{""population"": ""hospitalized_preterm_infants"", ""risks"": [""invasive_disease"", ""death""]}",high,
CHK-ASHWA-HILI-CASESERIES,SRC-PMID-37756041,ashwagandha,abstract,PubMed abstract lines 281-283,"아슈와간다 유발 간손상 사례군에서 cholestatic hepatitis가 흔했고, 기저 만성 간질환이 있던 일부는 ACLF로 진행하여 사망했다.",case_series_finding,"{""risks"": [""cholestatic_hepatitis"", ""acute_on_chronic_liver_failure""], ""high_risk_population"": [""pre_existing_chronic_liver_disease""]}",high,
CHK-ASHWA-LIVER-DISEASE-CAUTION,SRC-PMID-37756041,ashwagandha,conclusion,PubMed conclusion,기저 간질환이 있는 사람에서는 아슈와간다 사용을 보수적으로 피하거나 강한 경고를 두는 것이 안전하다.,disease_caution,"{""diseases_any"": [""chronic liver disease"", ""cirrhosis""], ""decision"": ""avoid""}",medium,
CHK-GINSENG-SAFETY-SHORTTERM,SRC-US-NCCIH-ASIANGINSENG,asian_ginseng,lines,L136-L138,"아시아 인삼은 권장량의 단기 경구 사용은 대체로 안전하다고 보지만, 장기 안전성은 불확실하고 소아·임신·수유는 비권장하는 견해가 있다.",pregnancy_lactation,"{""pregnancy"": ""required"", ""lactation"": ""required"", ""population_any"": [""infants"", ""children""], ""decision"": ""avoid_or_warn""}",high,
CHK-GINSENG-DIABETES,SRC-US-NCCIH-ASIANGINSENG,asian_ginseng,lines,L131-L132,아시아 인삼은 혈당을 낮출 가능성이 있어 당뇨 약물 사용자에서는 혈당 모니터링을 두는 것이 안전하다.,interaction,"{""medications_any"": [""antidiabetes medication"", ""insulin"", ""metformin"", ""sulfonylurea""], ""monitor"": ""blood_glucose""}",medium,
CHK-GLUCOSAMINE-WARFARIN,SRC-US-NCCIH-GLUCOSAMINE-CHONDROITIN,glucosamine_chondroitin,lines,L172-L174,글루코사민/콘드로이틴은 warfarin 사용자에서 출혈 위험 증가와 연관될 수 있다.,interaction,"{""medications_any"": [""warfarin""], ""risk"": ""bleeding""}",high,
CHK-GLUCOSAMINE-GLUCOSE,SRC-US-NCCIH-GLUCOSAMINE-CHONDROITIN,glucosamine_chondroitin,lines,L172-L174,글루코사민은 일부 사람에서 혈당을 높일 수 있어 당뇨 환자는 모니터링이 필요하다.,interaction,"{""diseases_any"": [""diabetes""], ""monitor"": ""blood_glucose""}",high,
CHK-GLUCOSAMINE-PREG,SRC-US-NCCIH-GLUCOSAMINE-CHONDROITIN,glucosamine_chondroitin,lines,L172-L174,임신/수유 중 안전성 자료가 부족하다.,pregnancy_lactation,"{""pregnancy"": ""required"", ""lactation"": ""required"", ""decision"": ""warn""}",high,
CHK-COQ10-WARFARIN-INSULIN,SRC-US-NCCIH-HEADACHES-COQ10,coenzyme_q10,lines,L209-L214,CoQ10은 warfarin과 insulin과 상호작용할 수 있다.,interaction,"{""medications_any"": [""warfarin"", ""insulin""], ""risk"": ""interaction""}",high,
CHK-COQ10-SAFETY,SRC-US-NCCIH-HEADACHES-COQ10,coenzyme_q10,lines,L211-L212,CoQ10은 보고된 중대한 부작용은 드물지만 약물상호작용 확인이 중요하다.,general_safety,"{""serious_adverse_events_reported"": ""none_major_reported""}",high,
