record_id,question_id,decision,reason_codes,confidence,evidence_basis
PMID-19961345,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19968806,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-19996852,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20000868,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20002359,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20004213,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20007794,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20010347,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20012362,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20016913,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20019161,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20020263,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20020266,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20020268,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20022533,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20026811,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20027042,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20036646,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20039781,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20040340,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20041403,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20044367,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20048026,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20051454,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20056362,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20057401,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,low,title_only
PMID-20061376,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20062900,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20063137,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20065280,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20065828,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20067607,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20067861,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20070181,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20071472,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20078683,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20082487,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20083373,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20087833,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20090433,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20090434,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20092649,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20095817,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20097795,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20099297,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20100299,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20102596,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20102673,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20103540,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20109004,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20116155,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20119464,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20122812,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20123118,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20123758,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20134487,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,low,title_only
PMID-20138352,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,low,title_only
PMID-20142290,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20142694,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20144962,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20146087,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20147589,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,low,title_only
PMID-20149248,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20149582,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20150507,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20153700,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20160351,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20166853,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20166895,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20171481,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20172547,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20175977,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20177860,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20179054,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,low,title_only
PMID-20180786,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20182423,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20184557,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,low,title_only
PMID-20185270,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20189753,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20193831,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20197596,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20198438,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20198931,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20199128,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20202235,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20202536,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20205695,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20207720,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20207721,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20211496,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20213329,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20217996,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,low,title_only
PMID-20225908,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20227233,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,low,title_only
PMID-20228690,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20230451,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20235334,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20236093,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20236342,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20237828,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20238369,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20297613,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20298551,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20300741,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20301289,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20301338,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20301494,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20301501,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20301617,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20301684,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20301711,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20304207,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20305573,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20306057,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20308717,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20332167,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20332258,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20333520,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20333776,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20334462,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20335976,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20350952,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20352459,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20353598,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20353737,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20354060,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20354348,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20355050,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20356852,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20357277,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20360406,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,low,title_only
PMID-20361362,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20362495,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20363371,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20363854,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20367520,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20373105,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20374238,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20378323,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20380479,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20389106,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20393822,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20398947,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20399899,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20400112,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20407780,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20408947,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20410548,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20411389,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20412003,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20426354,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20427369,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20428599,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20429831,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20431929,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20436226,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20436978,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20437682,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20444031,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20444146,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20444332,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20444470,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20446076,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20447078,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20447306,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20447712,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,low,title_only
PMID-20447955,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20450926,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20452902,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20456041,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20456332,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20456902,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20459325,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20461991,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,low,title_only
PMID-20463935,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20465779,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20466218,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20470019,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20470794,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20472413,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20473540,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20478651,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20480535,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20484213,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20490573,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20491750,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20492010,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20492543,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20498777,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20499154,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20500806,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20503171,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20506261,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20507245,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20507840,OTC-LIT-Q01-ACETAMINOPHEN,uncertain,exposure;insufficient_abstract,medium,abstract
PMID-20510877,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20522077,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20522287,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,low,title_only
PMID-20524707,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20528604,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20530076,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20531499,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20535011,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20535789,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20538000,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20538155,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20538235,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20539006,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20542751,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20544047,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20544069,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,low,title_only
PMID-20546200,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20549501,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20551297,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,high,abstract
PMID-20551729,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20553784,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20557453,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20559219,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20563735,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20564335,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20564545,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20568022,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20568329,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20568491,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20577660,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20580460,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20582905,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20585054,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,low,title_only
PMID-20589515,OTC-LIT-Q01-ACETAMINOPHEN,deprioritize,off_topic,high,abstract
PMID-20593646,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,low,title_only
PMID-20593647,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,low,title_only
PMID-20593648,OTC-LIT-Q01-ACETAMINOPHEN,retain,exposure;outcome;human_signal,low,title_only
