evidence_candidate_id,clinical_node_id,pmid,selection_basis,score,year,title,design_signals,outcome_signals,candidate_abstract_quote,source_url,source_locator,verification_status,full_text_status,limitations,human_title_abstract_decision,human_title_abstract_reason,full_text_retrieval_status,full_text_path,human_full_text_decision,human_full_text_reason,full_text_locator,reviewer_id,reviewed_at,review_notes
EV-K1-39413318,K1,39413318,top_score_recent,11,2024,Benefits of High-Dose Vitamin D in Managing Cutaneous Adverse Events Induced by Chemotherapy and Radiation Therapy.,randomized;case report;case series,adverse;toxicity,The use of chemotherapy and radiation for cancer treatment can result in cutaneous adverse events (AEs) such as toxic erythema of chemotherapy (TEC) and radiation-induced dermatitis.,https://pubmed.ncbi.nlm.nih.gov/39413318/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-39747809,K1,39747809,top_score_recent,11,2025,Dietary Supplement Safety in Older Adults: A Review of Published Case Reports.,clinical trial;case report,adverse;hypercalcemia;neuropath;toxicity,Objective: This review summarizes recent case reports where the consumption of dietary supplements by older adults may have caused an adverse event.,https://pubmed.ncbi.nlm.nih.gov/39747809/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-39886277,K1,39886277,top_score_recent,11,2025,Oral Versus Injectable Vitamin D Therapy for Treating Nutritional Rickets in Indian Children: A Comparative Study.,randomized;prospective,hypercalcemia;toxicity,No cases of local skin complications or vitamin D toxicity or symptomatic hypercalcemia were observed.,https://pubmed.ncbi.nlm.nih.gov/39886277/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-40083990,K1,40083990,top_score_recent,11,2025,"A randomized multi-arm open labelled comparative clinical trial report of Pankajakasthuri DiabetEaze powder, a novel polyherbal formulation on the nutritional management and glycemic control in type 2 diabetic and prediabetic patients.",randomized;clinical trial,toxic;toxicity,The consistent maintenance of normal LFT and RFT parameters and electrolyte levels across trial groups throughout the study duration indicates that the supplement does not induce liver toxicity or negatively impact hepatic function.,https://pubmed.ncbi.nlm.nih.gov/40083990/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-40466630,K1,40466630,top_score_recent,11,2026,"Extended-Release Calcifediol Normalized 1,25-Dihydroxyvitamin D and Prevented Progression of Secondary Hyperparathyroidism in Hemodialysis Patients in a Pilot Randomized Clinical Trial.",randomized;clinical trial,adverse;hypercalcemia,"Increases in mean serum calcium or phosphorus, episodes of hypercalcemia, or treatment-emergent adverse events were not observed with ERC treatment.",https://pubmed.ncbi.nlm.nih.gov/40466630/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-40499784,K1,40499784,top_score_recent,11,2025,"Efficacy of daily 4,000 International Units (IU) versus 6,000 IU of oral vitamin D3 in vitamin D deficient children with overweight and obesity: An open-label randomized controlled trial.",randomized;clinical trial,hypercalcemia;hypercalciuria,"Efficacy (25 [OH]D ≥ 50 nmol/L), safety (hypercalcemia, hypercalciuria, hypervitaminosis D), and metabolic impact (HbA1c, lipids) were assessed over 12 weeks.",https://pubmed.ncbi.nlm.nih.gov/40499784/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-40551736,K1,40551736,top_score_recent,11,2025,"Cholecalciferol (vitamin D3): efficacy, safety, and implications in public health.",randomized;clinical trial,hypercalcemia;nephrolith,"While vitamin D supplementation is generally safe within recommended limits, excessive intake may cause hypercalcemia or nephrolithiasis, emphasizing the need for personalized strategies.",https://pubmed.ncbi.nlm.nih.gov/40551736/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-40616189,K1,40616189,top_score_recent,11,2025,Are there prophylactic effects of vitamin D among healthier adult patients? A systematic review of randomized controlled trials.,randomized;prospective;systematic review,adverse;hypercalcemia,"INTRODUCTION: In 2017, a study uncovered increasing trends in vitamin D supplementation, revealing that 18% of adults exceeded 1000 international units (IU) daily, and 3% surpassed the safe limit of 4000 IU, raising concern for severe hypercalcemia and associated pathological effects on the kidneys, heart, and vascular system.",https://pubmed.ncbi.nlm.nih.gov/40616189/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-40775686,K1,40775686,top_score_recent,11,2025,High-dose extended-release calcifediol successfully treated advanced secondary hyperparathyroidism in an end-stage kidney disease patient: a case report.,randomized;clinical trial;case report,adverse;hypercalcemia;toxicity,Most require vitamin D hormone treatment which increases the risk of hypercalcemia.,https://pubmed.ncbi.nlm.nih.gov/40775686/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-40891477,K1,40891477,top_score_recent,11,2025,Preventing and treating kidney stones: an umbrella review of meta-analyses of non-surgical randomized controlled trials.,randomized;systematic review,kidney stone;nephrolith,"INTRODUCTION: Kidney stones represent a significant health burden due to their high prevalence, recurrence, and associated healthcare costs.",https://pubmed.ncbi.nlm.nih.gov/40891477/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-40944226,K1,40944226,top_score_recent,11,2025,Protective Role of Key Micronutrients in Chemotherapy-Induced Organ Toxicity: A Comprehensive Review of Mechanistic Insights and Clinical Implications.,randomized;clinical trial;cohort;case series;systematic review,toxic;toxicity,"BACKGROUND/OBJECTIVES: Systemic toxicities to key organs like the heart, liver, and kidneys impair the efficacy of chemotherapy in cancer treatment.",https://pubmed.ncbi.nlm.nih.gov/40944226/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-41159913,K1,41159913,top_score_recent,11,2026,"A Phase 2 Trial of RANKL Antibody, Denosumab, in Two Cohorts of Patients with Recurrent/Refractory Osteosarcoma, a Report from the Children's Oncology Group.",clinical trial;cohort,adverse;toxicity,"Toxicity, pharmacokinetics, and pharmacodynamic effects were additional endpoints.",https://pubmed.ncbi.nlm.nih.gov/41159913/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-41758568,K1,41758568,top_score_recent,11,2026,"The Significance of Fibroblast Growth Factor 23 and 24,25-Dihydroxyvitamin D in Dent Disease Type 1.",clinical trial;cohort,hypercalciuria;kidney stone,"KEY POINTS: Fibroblast growth factor 23 and 24,25-dihydroxyvitamin D are positively correlated and are significantly lower in Dent disease than in idiopathic calcium kidney stones patients.",https://pubmed.ncbi.nlm.nih.gov/41758568/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-41950523,K1,41950523,top_score_recent,11,2026,Reconsidering Vitamin D Supplementation in Pulmonary Disease: The Case for Targeted Respiratory Delivery.,randomized;clinical trial,adverse;hypercalcemia,"Despite compelling epidemiological evidence linking vitamin D deficiency to adverse outcomes in chronic obstructive pulmonary disease (COPD), asthma, and cystic fibrosis, randomized controlled trials have consistently failed to demonstrate clinically meaningful benefits from oral vitamin D supplementation.",https://pubmed.ncbi.nlm.nih.gov/41950523/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K1-42303801,K1,42303801,top_score_recent,11,2026,Eldecalcitol and calcium supplementation in Chinese women with postmenopausal osteoporosis: a prospective observational cohort study.,cohort;case report;prospective,adverse;hypercalcemia;urolith,"Adverse drug reactions (ADRs) affected 39.2% and 42.9% of patients in the without and with calcium supplementation groups, respectively.",https://pubmed.ncbi.nlm.nih.gov/42303801/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-23647723,K2,23647723,top_score_recent,11,2013,Nutraceuticals and chemotherapy induced peripheral neuropathy (CIPN): a systematic review.,randomized;clinical trial;systematic review,adverse;neuropath;neurotoxic;toxic,Chemotherapy induced peripheral neuropathy [CIPN] is a common significant and debilitating side effect resulting from the administration of neurotoxic chemotherapeutic agents.,https://pubmed.ncbi.nlm.nih.gov/23647723/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-24813907,K2,24813907,top_score_recent,11,2014,Chronic idiopathic axonal polyneuropathy and vitamin B6: a controlled population-based study.,case-control;prospective,neuropath;sensory,"Vitamin B6 intoxication can result in a sensory ataxic neuropathy, but the association with a milder predominantly sensory or sensorimotor phenotype in chronic idiopathic axonal polyneuropathy (CIAP) remains unclear.",https://pubmed.ncbi.nlm.nih.gov/24813907/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-30838307,K2,30838307,top_score_recent,11,2019,Levodopa-Induced Neuropathy: A Systematic Review.,randomized;clinical trial;prospective;systematic review,neuropath;neurotoxic,"BACKGROUND: Clinical, neurophysiological, and pathological evidence suggest an association between Parkinson's disease (PD) and peripheral neuropathy (PNP), with a possible causative role of levodopa metabolic products, such as homocysteine and methylmalonic acid.",https://pubmed.ncbi.nlm.nih.gov/30838307/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-33619867,K2,33619867,prespecified_seed,8,2021,Association between neuropathy and B-vitamins: A systematic review and meta-analysis.,systematic review;meta-analysis,neuropath,"BACKGROUND: Peripheral neuropathy (PN) is common in patients with diseases that are in turn associated with deficiency of the B-vitamins, and vitamin treatment has shown mixed results.",https://pubmed.ncbi.nlm.nih.gov/33619867/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-34931740,K2,34931740,top_score_recent,9,2022,Vitamin B6 levels do not correlate with severity of neuropathy in chronic idiopathic axonal polyneuropathy.,cohort,neuropath;sensory,"Pyridoxine (vitamin B6) toxicity is known to cause a length-dependent, sensory predominant axonal polyneuropathy.",https://pubmed.ncbi.nlm.nih.gov/34931740/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-35279367,K2,35279367,top_score_recent,9,2022,Timing of therapy and neurodevelopmental outcomes in 18 families with pyridoxine-dependent epilepsy.,cohort;retrospective,neurotoxic,"Adjunct lysine reduction therapies (LRT), aimed at lowering putative neurotoxic metabolites, are associated with improved cognitive outcomes.",https://pubmed.ncbi.nlm.nih.gov/35279367/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-35819060,K2,35819060,top_score_recent,9,2023,A Systematic Review of the Benefit of B-Vitamins as a Complementary Treatment in Cancer Patients.,systematic review,neuropath;sensory,"Two studies reported that vitamin B12 could be effective in the alleviation of symptoms resulting from chemotherapy; it might decrease motor, sensory and pain symptoms of peripheral neuropathy.",https://pubmed.ncbi.nlm.nih.gov/35819060/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-35919449,K2,35919449,top_score_recent,9,2022,Effect of vitamin B complex administration on pain and sensory problems related to inferior alveolar nerve damage following mandibular implant placement surgery.,clinical trial,paresthes;sensory,BACKGROUND: Inferior alveolar nerve damage can lead to mild to severe paresthesia and even facial pain.,https://pubmed.ncbi.nlm.nih.gov/35919449/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-36367997,K2,36367997,top_score_recent,9,2023,Potential Mediators of Oxaliplatin-Induced Peripheral Neuropathy From Adjuvant Therapy in Stage III Colon Cancer: Findings From CALGB (Alliance)/SWOG 80702.,clinical trial;prospective,neuropath,"PURPOSE: We sought to evaluate the independent and interactive associations of planned treatment duration, celecoxib use, physical activity, body mass index (BMI), diabetes mellitus, and vitamin B6 with oxaliplatin-induced peripheral neuropathy (OIPN) among patients with stage III colon cancer enrolled in a clinical trial.",https://pubmed.ncbi.nlm.nih.gov/36367997/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-36381744,K2,36381744,top_score_recent,9,2022,A Case of Acute Motor and Sensory Axonal Neuropathy Secondary to SGN-LIV1A Therapy.,case report,neuropath;sensory,"Acute motor and sensory axonal neuropathy (AMSAN), a sub-variant of Guillain-Barré syndrome, was diagnosed via electro-diagnostic studies.",https://pubmed.ncbi.nlm.nih.gov/36381744/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-36608063,K2,36608063,top_score_recent,11,2021,Preventing Vitamin B6-Related Neurotoxicity.,randomized;clinical trial,neuropath;neurotoxic,The association between elevated levels of pyridoxine and neuropathy is not well established.,https://pubmed.ncbi.nlm.nih.gov/36608063/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-37207271,K2,37207271,prespecified_seed,9,2023,Scientific opinion on the tolerable upper intake level for vitamin B6.,case-control;case report;systematic review,neuropath,The relationship between excess vitamin B6 intakes and the development of peripheral neuropathy is well established and is the critical effect on which the UL is based.,https://pubmed.ncbi.nlm.nih.gov/37207271/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-37231628,K2,37231628,top_score_recent,9,2024,Safety and efficacy of vitamin B in cancer treatments: A systematic review.,randomized;clinical trial;cohort;systematic review,neuropath,"In two separate studies, Vitamin B6 and Vitamin B12 supplementation with acupuncture was found to be effective as adjunct therapies aimed to reduce chemotherapy-induced peripheral neuropathy (n = 23 patients and n = 104 patients, respectively).",https://pubmed.ncbi.nlm.nih.gov/37231628/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-37447150,K2,37447150,prespecified_seed,9,2023,The Role of Vitamin B6 in Peripheral Neuropathy: A Systematic Review.,systematic review,neuropath;neurotoxic;sensory,Both vitamin B6 deficiency and high B6 intake have been described as risk factors for developing peripheral neuropathy (PN).,https://pubmed.ncbi.nlm.nih.gov/37447150/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-37697258,K2,37697258,top_score_recent,9,2023,Can vitamin B6 alleviate the adverse reactions of quadruple anti-Helicobacter pylori regimen? : randomized controlled trial.,randomized;clinical trial,neuropath,"It is often used to prevent a variety of neuropathies, relieve vomiting, and relieve symptoms such as hand and foot neuritis.",https://pubmed.ncbi.nlm.nih.gov/37697258/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-39134879,K2,39134879,top_score_recent,9,2024,Characteristics of isoniazid-induced psychosis: a systematic review of case reports and case series.,case report;case series;systematic review,neuropath,"PURPOSE: Isoniazid, a first-line antitubercular drug, is associated with nervous system adverse drug reactions such as seizures, peripheral neuropathy, and psychosis.",https://pubmed.ncbi.nlm.nih.gov/39134879/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-39747809,K2,39747809,top_score_recent,11,2025,Dietary Supplement Safety in Older Adults: A Review of Published Case Reports.,clinical trial;case report,adverse;hypercalcemia;neuropath;toxicity,Objective: This review summarizes recent case reports where the consumption of dietary supplements by older adults may have caused an adverse event.,https://pubmed.ncbi.nlm.nih.gov/39747809/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-39994116,K2,39994116,top_score_recent,9,2025,Vincristine-induced ptosis in pediatric patients: a systematic review and practice recommendations.,systematic review,neuropath;neurotoxic,"Vincristine, a chemotherapy drug primarily used in pediatric cancer treatments like acute lymphoblastic leukemia and Wilms' tumor, is known for neurotoxic side effects, including a rare but under-discussed manifestation-vincristine-induced ptosis.",https://pubmed.ncbi.nlm.nih.gov/39994116/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-40853095,K2,40853095,top_score_recent,9,2025,Unlocking Relief: Investigating the Impact of a Fixed Combination of Acetyl-L-Carnitine and Palmitoylethanolamide on Traumatic Acute Low Back Pain.,randomized,neuropath;sensory,"BACKGROUND: Peripheral neuropathies encompass a diverse group of disorders involving peripheral nerve damage, often leading to pain, sensory disturbances, and motor impairments.",https://pubmed.ncbi.nlm.nih.gov/40853095/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-41522532,K2,41522532,top_score_recent,11,2026,Vincristine-Induced Neurotoxicity in Acute Lymphoblastic Leukemia: A Comprehensive Systematic Review.,prospective;systematic review,neuropath;neurotoxic;sensory,"The present review aims to assess the risk factors, clinical manifestations, and management strategies of VCR-induced neurotoxicity in patients with ALL.",https://pubmed.ncbi.nlm.nih.gov/41522532/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-41539356,K2,41539356,top_score_recent,9,2026,Adjunctive and supportive strategies to mitigate drug toxicities in the treatment of nontuberculous mycobacterial disease with future directions.,cohort;prospective,neuropath,"Hepatotoxicity, ototoxicity, nephrotoxicity, myelosuppression, neuropathy, gastrointestinal intolerance, and dermatologic complications frequently lead to dose reduction, interruption, or discontinuation, undermining therapeutic efficacy and patient adherence.",https://pubmed.ncbi.nlm.nih.gov/41539356/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K2-6308447,K2,6308447,prespecified_seed,7,1983,Sensory neuropathy from pyridoxine abuse. A new megavitamin syndrome.,,neuropath;sensory,We describe seven adults who had ataxia and severe sensory-nervous-system dysfunction after daily high-level pyridoxine (vitamin B6) consumption.,https://pubmed.ncbi.nlm.nih.gov/6308447/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-23252877,K3,23252877,prespecified_seed,9,2013,Tolerability of different oral iron supplements: a systematic review.,systematic review,adverse;tolerab,OBJECTIVE: A systematic review was conducted to analyze the tolerability of several oral iron supplements based on data obtained in available publications and to report the incidence of adverse effects (AEs) for each supplement both overall and gastrointestinal.,https://pubmed.ncbi.nlm.nih.gov/23252877/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-24899360,K3,24899360,prespecified_seed,11,2014,"A rapid, simple questionnaire to assess gastrointestinal symptoms after oral ferrous sulphate supplementation.",randomized;clinical trial,abdominal pain;constipation;diarr;nausea;vomiting,"nausea, vomiting, heartburn, abdominal pain, diarrhoea, and constipation).",https://pubmed.ncbi.nlm.nih.gov/24899360/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-25700159,K3,25700159,prespecified_seed,9,2015,Ferrous sulfate supplementation causes significant gastrointestinal side-effects in adults: a systematic review and meta-analysis.,randomized;systematic review;meta-analysis,tolerab,BACKGROUND: The tolerability of oral iron supplementation for the treatment of iron deficiency anemia is disputed.,https://pubmed.ncbi.nlm.nih.gov/25700159/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-35852713,K3,35852713,top_score_recent,11,2023,Hypoxia inducible factor-prolyl hydroxylase inhibitors in anemic patients with non-dialysis dependent chronic kidney disease: a meta-analysis of randomized clinical trials.,randomized;clinical trial;meta-analysis,adverse;diarr,We reported total and serious adverse effects.,https://pubmed.ncbi.nlm.nih.gov/35852713/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-36822986,K3,36822986,top_score_recent,11,2023,"Emergent ""Bloody Diarrhea"" Associated with the Use of Oral Cefdinir in Young Children: A Brief Report and Review of Literature.",case report;case series,adverse;diarr,"CASE REPORT: This report describes a case series of 3 infants presenting to the emergency department for evaluation of ""bloody diarrhea."" The parents noticed red stools when their children were started on oral cefdinir when they were previously receiving iron-containing preparations.",https://pubmed.ncbi.nlm.nih.gov/36822986/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-37010569,K3,37010569,prespecified_seed,9,2023,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia.,randomized;prospective,adverse,This prospective open-labeled randomized controlled study was designed to compare the response of 200 mg ferrous fumarate thrice-weekly (TIW) as not inferior to the thrice-daily (TID) regimen and to assess the incidence of adverse events (AEs) between two regimens in treating adult patients with IDA.,https://pubmed.ncbi.nlm.nih.gov/37010569/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-37971571,K3,37971571,top_score_recent,11,2024,Management of collagenous gastritis in children: Case series and literature review.,case series;retrospective,abdominal pain;adverse,"It is associated with abdominal pain and iron deficiency anemia, usually not respondent to oral iron supplements.",https://pubmed.ncbi.nlm.nih.gov/37971571/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-37979057,K3,37979057,top_score_recent,11,2024,Daily versus alternate day oral iron therapy in iron deficiency anemia: a systematic review.,randomized;systematic review,adverse;constipation;nausea,"But adverse effects like epigastric pain, heartburn, and constipation reduce compliance to daily oral iron.",https://pubmed.ncbi.nlm.nih.gov/37979057/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-38476079,K3,38476079,top_score_recent,11,2024,"A randomized double-blind pilot study to evaluate the efficacy, safety, and tolerability of intravenous iron versus oral iron for the treatment of restless legs syndrome in patients with iron deficiency anemia.",randomized;clinical trial,adverse;tolerab,No serious adverse events were observed in either treatment group.,https://pubmed.ncbi.nlm.nih.gov/38476079/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
EV-K3-38545733,K3,38545733,top_score_recent,11,2024,Daily versus three times weekly dosing for treatment of iron deficiency nonanemia in NCAA Division 1 female athletes.,cohort;prospective,constipation;nausea,The athletes following the daily regimen experienced significantly more nausea (p = .04) and constipation (p = .002) compared to the TIW regimen.,https://pubmed.ncbi.nlm.nih.gov/38545733/,PubMed abstract,agent_review_required,not_assessed,abstract-only candidate; not a verified effect estimate,,,,,,,,,,
