"evidence_candidate_id","rule_id","rule_type","product_name","item_sequence","current_scope","semantic_relation","recommended_status","proposed_trigger","expected_decision_ko","decision_reason_ko","expert_question_ko"
"EXP-OTC-01-NB-P2-B17-pregnancy_lactation","OTC-RULE-006","pregnancy_lactation","덱스피드연질캡슐(덱시부프로펜)","201110646","ibuprofen_pregnancy_lactation","potential_product_extension","needs_expert_review","검토안: item_sequence=201110646 AND 임신 시기가 허가문구의 ‘임신 6개월 이상’에 해당함. 현재 1·2·3기 입력만으로 6개월 경계를 정확히 표현할 수 없으므로 임신 주수 환산을 전문가가 승인하기 전에는 비활성","임신 6개월 이상이면 이 제품을 복용하지 않도록 안내한다.","원문은 임신 6개월 이상에서 덱스피드 복용 금지를 직접 지지한다. 현재 규칙은 어린이부루펜시럽의 임신 3기에 한정된다. 현재 엔진은 `pregnancyTrimester`를 입력받지만 월·주 단위 경계는 받지 않는다. 따라서 6개월 이상을 단순히 3기로 치환하면 허가 범위를 누락하거나 넓힐 수 있다. 이 원문은 수유 조건을 지지하지 않는다.","허가문구의 임신 6개월 이상을 몇 주부터로 판정할 것인가? 현재 `pregnancyTrimester` 입력만으로 판정할 수 없다면 주수 입력을 추가할 것인가? 시기 미상과 수유 중은 비판정으로 둘 것인가?"
"EXP-OTC-02-NB-P8-B5-pregnancy_lactation","OTC-RULE-006","pregnancy_lactation","낙센정(나프록센)","197500016","ibuprofen_pregnancy_lactation","potential_product_extension","needs_expert_review","검토안: item_sequence=197500016 AND 허가원문의 ‘임신 말기’에 해당하는 시기. `pregnancyTrimester=3` 대응과 문단 5~10의 완결 근거를 전문가가 승인하기 전에는 비활성","임신 말기이면 이 제품을 복용하지 않도록 안내한다.","후보 문단 5는 제목뿐이고 문단 6~10이 임신 말기 투여 금지·회피를 설명한다. 현재 엔진은 `pregnancyTrimester`를 입력받지만 후보 locator와 text만으로는 ‘임신 말기’와 3기의 대응 및 판정을 재현할 수 없다. 문단 11 이후의 임신 20주 이후 주의사항은 별도 조건이며 임신 말기 금기와 합치면 안 된다.","문단 5~10을 완결 근거로 묶고 ‘임신 말기’를 `pregnancyTrimester=3`으로 판정해도 되는가? 문단 11 이후의 임신 20~30주 조건은 별도 규칙으로 분리할 것인가?"
"EXP-OTC-01-NB-P2-B7-hepatic_disease","OTC-RULE-007","hepatic_disease","덱스피드연질캡슐(덱시부프로펜)","201110646","acetaminophen_liver_disease","potential_product_extension","needs_expert_review","검토안: item_sequence=201110646 AND severe_hepatic_impairment=true. 중증도 입력이 생기기 전에는 비활성","심한 간장애가 있으면 이 제품을 복용하지 않도록 안내한다.","상위 문단 3은 복용 금지 대상을 열거하고 문단 7은 심한 간장애 환자를 명시한다. 현재 엔진의 liverDisease 불리언은 경증·중증과 과거력을 구분하지 않아 그대로 연결하면 원문보다 넓게 판정한다.","심한 간장애를 사용자가 답할 수 있는 조건으로 어떻게 정의하고 중증도 미상은 비판정으로 둘 것인가?"
"EXP-OTC-02-NB-P1-B26-hepatic_disease","OTC-RULE-007","hepatic_disease","낙센정(나프록센)","197500016","acetaminophen_liver_disease","potential_product_extension","needs_expert_review","검토안: item_sequence=197500016 AND severe_hepatic_impairment=true. 중증도 입력이 생기기 전에는 비활성","심한 간장애가 있으면 이 제품을 복용하지 않도록 안내한다.","상위 문단 23은 투여 금지 대상을 열거하고 문단 26은 심한 간장애 환자를 명시한다. 현재 엔진의 liverDisease 불리언은 경증·중증과 과거력을 구분하지 않아 그대로 연결하면 원문보다 넓게 판정한다.","심한 간장애를 사용자가 답할 수 있는 조건으로 어떻게 정의하고 중증도 미상은 비판정으로 둘 것인가?"
"EXP-OTC-01-NB-P2-B8-renal_disease","OTC-RULE-008","renal_disease","덱스피드연질캡슐(덱시부프로펜)","201110646","ibuprofen_kidney_disease","potential_product_extension","needs_expert_review","검토안: item_sequence=201110646 AND severe_renal_impairment=true. 중증도 입력이 생기기 전에는 비활성","심한 신장애가 있으면 이 제품을 복용하지 않도록 안내한다.","상위 문단 3은 복용 금지 대상을 열거하고 문단 8은 심한 신장애 환자를 명시한다. 현재 엔진의 kidneyDisease 불리언은 중증도를 구분하지 않아 그대로 연결하면 원문보다 넓게 판정한다.","심한 신장애를 사용자가 답할 수 있는 조건으로 어떻게 정의하고 중증도 미상은 비판정으로 둘 것인가?"
"EXP-OTC-02-NB-P2-B1-renal_disease","OTC-RULE-008","renal_disease","낙센정(나프록센)","197500016","ibuprofen_kidney_disease","potential_product_extension","needs_expert_review","검토안: item_sequence=197500016 AND severe_renal_impairment=true. 중증도 입력이 생기기 전에는 비활성","심한 신장애가 있으면 이 제품을 복용하지 않도록 안내한다.","직전 쪽 문단 23의 투여 금지 목록이 다음 쪽 문단 1까지 이어지고 심한 신장애 환자를 명시한다. 현재 엔진의 kidneyDisease 불리언은 중증도를 구분하지 않아 그대로 연결하면 원문보다 넓게 판정한다.","쪽 경계를 포함한 locator를 어떻게 기록하고 심한 신장애 중증도를 어떤 사용자 입력으로 받을 것인가?"
"EXP-OTC-01-NB-P1-B4-gi_bleeding_ulcer","OTC-RULE-009","gi_bleeding_ulcer","덱스피드연질캡슐(덱시부프로펜)","201110646","ibuprofen_gi_bleeding_or_ulcer","duplicate_context","rejected","없음. 이 후보를 gi_bleeding_or_ulcer 판정에 연결하지 않음","이 후보로 위장관 출혈·궤양 병력 경고를 만들지 않는다.","문단 4는 직전 문단 3의 정기 음주 경고가 줄바꿈된 후반부다. 정기 음주자가 복용하면 위장출혈이 유발될 수 있다는 뜻이며 위장관 출혈이나 궤양 병력을 입력 조건으로 삼는 원문이 아니다.","이 행을 OTC-RULE-009에서 제외하고 문단 3~4를 음주 후보 하나로 합칠 것인가?"
"EXP-OTC-02-NB-P1-B4-gi_bleeding_ulcer","OTC-RULE-009","gi_bleeding_ulcer","낙센정(나프록센)","197500016","ibuprofen_gi_bleeding_or_ulcer","duplicate_context","rejected","없음. 이 후보를 gi_bleeding_or_ulcer 판정에 연결하지 않음","이 후보로 위장관 출혈·궤양 병력 경고를 만들지 않는다.","문단 4는 직전 문단 3의 정기 음주 경고가 줄바꿈된 후반부다. 정기 음주자가 복용하면 위장출혈이 유발될 수 있다는 뜻이며 위장관 출혈이나 궤양 병력을 입력 조건으로 삼는 원문이 아니다.","이 행을 OTC-RULE-009에서 제외하고 문단 3~4를 음주 후보 하나로 합칠 것인가?"
"EXP-OTC-01-NB-P3-B17-sedation_driving","OTC-RULE-010","sedation_driving","덱스피드연질캡슐(덱시부프로펜)","201110646","pancol_a_driving","potential_product_extension","needs_expert_review","검토안: item_sequence=201110646 AND will_drive=true AND 단기 1회 복용이 아님. 복용 기간 조건을 정의하기 전에는 비활성","어지러움이나 피로가 나타날 수 있으므로 운전·기계 조작 시 주의하도록 안내한다.","원문 문단 16~18은 반응능력 저하 가능성과 운전 주의를 직접 연결하지만 1회 또는 단기간 복용에는 특별한 주의가 필요하지 않다고 예외를 둔다. 현재 엔진은 판콜에이의 운전 회피 문구를 재사용하고 단기간의 뜻도 판정하지 못한다.","단기간의 기준을 며칠 또는 몇 회로 정의할 것인가, 그리고 판콜에이의 운전 회피와 덱스피드의 운전 주의를 별도 결정 문구로 나눌 것인가?"
"EXP-OTC-02-NB-P3-B12-sedation_driving","OTC-RULE-010","sedation_driving","낙센정(나프록센)","197500016","pancol_a_driving","wrong_scope","rejected","없음. 이 후보를 sedation_driving 판정에 연결하지 않음","이 후보만으로 운전·기계 조작 회피 판정을 만들지 않는다.","원문 문단 12~14는 졸음 등 정신신경계 이상반응을 열거하지만 운전이나 기계 조작에 관한 지시를 포함하지 않는다. 판콜에이의 직접 운전 회피 조건을 낙센정에 옮길 근거가 아니다.","낙센정 허가원문에 운전 또는 기계 조작을 직접 언급하는 별도 문구가 있는지 다시 확인할 것인가?"
"EXP-OTC-01-NB-P1-B3-alcohol","OTC-RULE-011","alcohol","덱스피드연질캡슐(덱시부프로펜)","201110646","acetaminophen_regular_alcohol_use","potential_product_extension","needs_expert_review","검토안: item_sequence=201110646 AND 매일 3잔 이상 정기적으로 음주함. 문단 3~4를 완결 근거로 묶기 전에는 비활성","복용 전에 의사 또는 약사와 상의하도록 안내한다.","원문 문단 3~4는 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 제품을 복용하면 위장출혈이 생길 수 있다고 직접 경고한다. 현재 범위는 아세트아미노펜의 간손상 경고이며 후보 text와 locator는 문장 후반이 빠져 있어 별도 제품 규칙으로 검토해야 한다.","문단 3~4를 하나의 근거 범위로 묶고 NSAID의 위장출혈 결과를 아세트아미노펜의 간손상 결과와 분리한 제품별 음주 규칙으로 채택할 것인가?"
"EXP-OTC-02-NB-P1-B3-alcohol","OTC-RULE-011","alcohol","낙센정(나프록센)","197500016","acetaminophen_regular_alcohol_use","potential_product_extension","needs_expert_review","검토안: item_sequence=197500016 AND 매일 3잔 이상 정기적으로 음주함. 문단 3~4를 완결 근거로 묶기 전에는 비활성","복용 전에 의사 또는 약사와 상의하도록 안내한다.","원문 문단 3~4는 매일 3잔 이상 정기적으로 술을 마시는 사람이 이 제품을 복용하면 위장출혈이 생길 수 있다고 직접 경고한다. 현재 범위는 아세트아미노펜의 간손상 경고이며 후보 text와 locator는 문장 후반이 빠져 있어 별도 제품 규칙으로 검토해야 한다.","문단 3~4를 하나의 근거 범위로 묶고 NSAID의 위장출혈 결과를 아세트아미노펜의 간손상 결과와 분리한 제품별 음주 규칙으로 채택할 것인가?"
"EXP-OTC-01-NB-P4-B19-anticoagulant_antiplatelet","OTC-RULE-012","anticoagulant_antiplatelet","덱스피드연질캡슐(덱시부프로펜)","201110646","ibuprofen_warfarin_or_coumarin_anticoagulant","potential_product_extension","needs_expert_review","검토안: item_sequence=201110646 AND 혈액응고장애 또는 항응고제 투여 중. 상위 상담 지시를 locator에 포함하기 전에는 비활성","복용 전에 의사 또는 약사와 상의하도록 안내한다.","문단 19는 혈액응고장애가 있거나 항응고제를 투여받는 환자를 상담 대상으로 열거한다. 현재 후보 text에는 앞쪽의 상담 지시가 없고 현재 엔진은 항응고제 종류와 혈액응고장애 입력을 충분히 구분하지 않는다.","상위 상담 지시와 문단 19를 어떤 locator 범위로 묶고 항응고제의 허용 용어와 혈액응고장애 입력을 어떻게 정의할 것인가?"
"EXP-OTC-02-NB-P4-B22-anticoagulant_antiplatelet","OTC-RULE-012","anticoagulant_antiplatelet","낙센정(나프록센)","197500016","ibuprofen_warfarin_or_coumarin_anticoagulant","potential_product_extension","needs_expert_review","검토안: item_sequence=197500016 AND 항응고제 병용. 문단 18~25의 위험·주의 범위를 확정하기 전에는 비활성","위장관 출혈 위험 때문에 복용 전에 처방 의료진 또는 약사와 상의하도록 안내한다.","문단 22는 항응고제 병용을 위장관 출혈 위험인자로 직접 든다. 후보 text에는 문단 18의 주의 대상과 문단 24~25의 특별 주의 지시가 빠져 있고 현재 범위의 와파린·쿠마린보다 항응고제 표현이 넓다.","모든 항응고제를 조건으로 둘 것인가, 특정 성분만 허용할 것인가, 그리고 특별 주의를 사용자 판정 문구로 어떻게 옮길 것인가?"
"EXP-OTC-01-NB-P5-B28-sedative_medication","OTC-RULE-013","sedative_medication","덱스피드연질캡슐(덱시부프로펜)","201110646","pancol_a_sedative_or_overlapping_cold_medicine","wrong_scope","rejected","없음. 이 후보를 sedative_medication 판정에 연결하지 않음","이 후보로 진정 작용 중복 경고를 만들지 않는다.","원문은 페노바르비탈을 CYP2C8·CYP2C9 유도제의 예로 들어 덱시부프로펜 대사 증가와 약효 감소를 설명한다. 진정 작용의 중복이나 판콜에이의 감기약·진정제 병용 금지와는 다른 상호작용이다.","이 문구를 진정제 규칙에서 제외하고 효소 유도에 따른 약효 감소 상호작용 후보로 별도 수집할 필요가 있는가?"
"SAFE-OTC-01-NB-P1-B21-sedative_medication","OTC-RULE-013","sedative_medication","타이레놀정500밀리그람(아세트아미노펜)","202106092","pancol_a_sedative_or_overlapping_cold_medicine","potential_product_extension","needs_expert_review","검토안: item_sequence=202106092 AND 바르비탈계 약물 또는 삼환계 항우울제 복용. 별도 상호작용 유형을 확정하기 전에는 비활성","해당 약물을 복용한 사람은 타이레놀정500을 복용하지 않도록 안내한다.","상위 문단 13은 복용 금지 대상을 열거하고 문단 21은 바르비탈계 약물과 삼환계 항우울제를 직접 명시한다. 다만 원문은 진정 작용을 이유로 제시하지 않으며 현재 범위는 판콜에이의 진정제·중복 감기약 금지이므로 같은 규칙으로 합치면 근거 의미가 달라진다.","이 금기를 제품별 바르비탈계·삼환계 항우울제 상호작용 규칙으로 분리할 것인가, 아니면 sedative_medication 유형 안에서 별도 결정 문구를 둘 것인가?"
"EXP-OTC-01-NB-P1-B5-decongestant_hypertension","OTC-RULE-014","decongestant_hypertension","덱스피드연질캡슐(덱시부프로펜)","201110646","pancol_a_phenylephrine_hypertension","wrong_scope","rejected","없음. 이 후보를 decongestant_hypertension 판정에 연결하지 않음","이 후보로 비충혈제거제·고혈압 경고를 만들지 않는다.","원문은 덱시부프로펜을 포함한 NSAID의 심혈관계 혈전 위험을 설명한다. 제품에 페닐레프린 같은 비충혈제거제가 없으므로 판콜에이 비충혈제거제 규칙과 성분·기전·판정 문구가 다르다.","이 문구를 별도 NSAID 심혈관 위험 규칙 후보로 다시 수집할 것인가?"
"EXP-OTC-02-NB-P1-B5-decongestant_hypertension","OTC-RULE-014","decongestant_hypertension","낙센정(나프록센)","197500016","pancol_a_phenylephrine_hypertension","wrong_scope","rejected","없음. 이 후보를 decongestant_hypertension 판정에 연결하지 않음","이 후보로 비충혈제거제·고혈압 경고를 만들지 않는다.","원문은 나프록센을 포함한 NSAID의 심혈관계 혈전 위험을 설명한다. 제품에 페닐레프린 같은 비충혈제거제가 없으므로 판콜에이 비충혈제거제 규칙과 성분·기전·판정 문구가 다르다.","이 문구를 별도 NSAID 심혈관 위험 규칙 후보로 다시 수집할 것인가?"
"SAFE-OTC-10-NB-P3-B6-maximum_duration","OTC-RULE-015","maximum_duration","판콜에이내복액","196800036","pancol_a_continuous_use","direct_same_scope","needs_expert_review","검토안: item_sequence=196800036 AND continuous_days가 전문가가 정한 장기간 기준을 초과함. 정량 기준 확정 전에는 비활성","장기간 계속 복용하지 말고 증상이 지속되면 의사 또는 약사와 상의하도록 안내한다.","제품과 원문은 현재 범위에 정확히 맞지만 문단 6은 장기간의 일수 상한을 제시하지 않는다. 현재 엔진의 maximumContinuousDays에는 숫자가 필요하므로 임의 일수를 넣으면 허가원문보다 좁거나 넓은 판정을 만든다.","장기간을 정량 일수로 정의할 공식 근거가 있는가, 없으면 이 항목을 계산 규칙이 아닌 비정량 안내로만 둘 것인가?"
"EXP-OTC-01-NB-P3-B19-maximum_duration","OTC-RULE-015","maximum_duration","덱스피드연질캡슐(덱시부프로펜)","201110646","pancol_a_continuous_use","wrong_scope","rejected","없음. 이 후보를 maximum_duration 판정에 연결하지 않음","이 후보로 최대 연속 복용일 판정을 만들지 않는다.","원문은 장기간 고용량 복용 시 두통이 생길 수 있다는 위해 설명이다. 허용되는 최대 복용 기간이나 중단 시점을 정하지 않으며 판콜에이의 장기 계속 복용 금지와도 제품·조건이 다르다.","장기 고용량 두통 위험을 별도 비정량 주의 후보로 수집할 필요가 있는가?"
"EXP-OTC-02-NB-P5-B7-maximum_duration","OTC-RULE-015","maximum_duration","낙센정(나프록센)","197500016","pancol_a_continuous_use","wrong_scope","rejected","없음. 이 후보를 maximum_duration 판정에 연결하지 않음","이 후보로 최대 연속 복용일 판정을 만들지 않는다.","원문은 NSAID 장기 복용 시 신장 손상 가능성과 고위험군 주의를 설명한다. 최대 허용 일수나 일수 초과 판정을 제시하지 않아 maximum_duration 임계값의 근거가 될 수 없다.","장기 복용 신장 위험을 별도 비정량 질환·기간 주의 후보로 수집할 필요가 있는가?"
"EXP-OTC-01-NB-P6-B13-urgent_referral","OTC-RULE-016","urgent_referral","덱스피드연질캡슐(덱시부프로펜)","201110646","tylenol500_stop_and_consult_symptoms","potential_product_extension","needs_expert_review","검토안: item_sequence=201110646 AND 뒤이은 허가원문에서 직접 추출·검증한 즉시 중지 증상 중 하나가 입력됨. 증상 목록 확정 전에는 비활성","해당 증상이 나타나면 복용을 즉시 중지하고 의사·치과의사·약사와 상의하도록 안내한다.","후보 문단 13~14는 즉시 중지와 상담이라는 상위 지시만 제공하고 구체적인 증상은 문단 15 이후에 이어진다. 현재 후보 한 행만으로는 안전한 trigger를 만들 수 없고 현재 긴급 규칙은 타이레놀정500 증상 목록에 한정된다.","어떤 후속 증상 문단을 포함하고 각 증상 용어와 locator를 어떻게 일대일로 검증할 것인가?"
"EXP-OTC-02-NB-P3-B11-urgent_referral","OTC-RULE-016","urgent_referral","낙센정(나프록센)","197500016","tylenol500_stop_and_consult_symptoms","potential_product_extension","needs_expert_review","검토안: item_sequence=197500016 AND 전문가가 승인한 무균성 수막염 의심 증상 조합·중증도 조건을 충족함. 문단 10~11의 완결 근거와 조건을 확정하기 전에는 비활성","승인한 조건을 충족하면 이 제품 복용을 즉시 중지하고 의사와 상의하도록 안내한다.","문단 10~11은 무균성 수막염 의심 증상과 즉시 중단·상담을 연결한다. 후보 text는 문장 후반만 담고 있으며 구역·구토·불면·발열 같은 흔한 증상을 각각 단독 문자열로 매칭하면 오탐 위험이 있다. 전문가가 증상 조합과 중증도를 정의하기 전에는 단일 증상 trigger를 만들지 않는다.","문단 10~11을 완결 근거로 승인할 것인가, 그리고 어떤 증상 조합이나 중증도에서 긴급 판정을 낼 것인가?"
