evidence_id,clinical_node_id,pmid,title,prespecified_design,outcome_signals,abstract_locator_quote,source_url,verification_status,full_text_status,risk_of_bias_status,grade_status,allowed_use
AE-K3-24899360,K3,24899360,"A rapid, simple questionnaire to assess gastrointestinal symptoms after oral ferrous sulphate supplementation.",randomized_controlled_trial,abdominal pain;constipation;diarr;nausea;vomiting,"nausea, vomiting, heartburn, abdominal pain, diarrhoea, and constipation).",https://pubmed.ncbi.nlm.nih.gov/24899360/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K3-37010569,K3,37010569,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia.,randomized_controlled_trial,adverse,This prospective open-labeled randomized controlled study was designed to compare the response of 200 mg ferrous fumarate thrice-weekly (TIW) as not inferior to the thrice-daily (TID) regimen and to assess the incidence of adverse events (AEs) between two regimens in treating adult patients with IDA.,https://pubmed.ncbi.nlm.nih.gov/37010569/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K4-30805197,K4,30805197,Risk factors for the development of hypermagnesemia in patients prescribed magnesium oxide: a retrospective cohort study.,cohort,adverse;hypermagnes,"Because serum Magnesium (Mg) levels are elevated in elderly and/or patients with renal failure, its periodic monitoring is recommended for patients prescribed MgO, in order to prevent MgO-induced hypermagnesemia.",https://pubmed.ncbi.nlm.nih.gov/30805197/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K4-30136128,K4,30136128,Severe hypermagnesemia induced by magnesium oxide ingestion: a case series.,case_series,hypermagnes;renal insufficiency,Hypermagnesemia is generally considered an exceptional iatrogenic condition usually caused by magnesium-containing cathartics.,https://pubmed.ncbi.nlm.nih.gov/30136128/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K4-29988705,K4,29988705,The characteristics of patients with hypermagnesemia who underwent emergency hemodialysis.,case_series,hypermagnes,AIM: This study aimed to clarify the characteristics of patients who presented with severe hypermagnesemia and subsequently underwent emergency hemodialysis.,https://pubmed.ncbi.nlm.nih.gov/29988705/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K4-37487817,K4,37487817,Perspective: Call for Re-evaluation of the Tolerable Upper Intake Level for Magnesium Supplementation in Adults.,perspective_with_structured_review,adverse;diarr,Diarrhea was the limiting factor.,https://pubmed.ncbi.nlm.nih.gov/37487817/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K4-39218658,K4,39218658,[Risk Factors Analysis for Hypermagnesemia with Magnesium Oxide].,cohort,hypermagnes,"While decreased renal function is a known risk factor for hypermagnesemia caused by magnesium oxide (MgO), few studies have comprehensively investigated other contributing factors.",https://pubmed.ncbi.nlm.nih.gov/39218658/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K5-2407097,K5,2407097,Zinc toxicity.,review,anemia;copper deficiency;nausea;neutropenia;toxic;vomiting,This is a review of the literature on manifestations of toxicity at several levels of zinc intake.,https://pubmed.ncbi.nlm.nih.gov/2407097/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K5-37640593,K5,37640593,Severe copper deficiency anemia caused by zinc supplement use.,case_report,anemia;copper deficiency,Copper deficiency is an uncommon condition primarily affecting the hematologic and neurologic systems.,https://pubmed.ncbi.nlm.nih.gov/37640593/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K5-37736439,K5,37736439,Zinc-Induced Copper Deficiency as a Rare Cause of Neurological Deficit and Anemia.,case_report,anemia;copper deficiency;hypocuprem,"However, zinc over-supplementation in this population can lead to hypocupremia, causing various presentations such as anemia, paresthesia, and gait disturbances.",https://pubmed.ncbi.nlm.nih.gov/37736439/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
AE-K5-38846187,K5,38846187,Zinc-Containing Over-The-Counter Product Causing Sideroblastic Anemia and Neutropenia.,case_report,anemia;copper deficiency;neutropenia,"Sideroblastic anemia is characterized by anemia, granulocytopenia, and bone marrow findings of vacuolated precursors and ringed sideroblasts.",https://pubmed.ncbi.nlm.nih.gov/38846187/,verified_against_pubmed_abstract,not_reviewed,not_assessed_abstract_only,not_assessed_no_full_text_effect_estimate,evidence_map_and_hypothesis_only
