quote_id,evidence_id,source_url,locator,quote,verification_status
AQ-K3-23252877,AE-K3-23252877,https://pubmed.ncbi.nlm.nih.gov/23252877/,PubMed abstract,OBJECTIVE: A systematic review was conducted to analyze the tolerability of several oral iron supplements based on data obtained in available publications and to report the incidence of adverse effects (AEs) for each supplement both overall and gastrointestinal.,verified_against_pubmed_abstract
AQ-K3-24899360,AE-K3-24899360,https://pubmed.ncbi.nlm.nih.gov/24899360/,PubMed abstract,"nausea, vomiting, heartburn, abdominal pain, diarrhoea, and constipation).",verified_against_pubmed_abstract
AQ-K3-37010569,AE-K3-37010569,https://pubmed.ncbi.nlm.nih.gov/37010569/,PubMed abstract,This prospective open-labeled randomized controlled study was designed to compare the response of 200 mg ferrous fumarate thrice-weekly (TIW) as not inferior to the thrice-daily (TID) regimen and to assess the incidence of adverse events (AEs) between two regimens in treating adult patients with IDA.,verified_against_pubmed_abstract
AQ-K4-30805197,AE-K4-30805197,https://pubmed.ncbi.nlm.nih.gov/30805197/,PubMed abstract,"Because serum Magnesium (Mg) levels are elevated in elderly and/or patients with renal failure, its periodic monitoring is recommended for patients prescribed MgO, in order to prevent MgO-induced hypermagnesemia.",verified_against_pubmed_abstract
AQ-K4-30136128,AE-K4-30136128,https://pubmed.ncbi.nlm.nih.gov/30136128/,PubMed abstract,Hypermagnesemia is generally considered an exceptional iatrogenic condition usually caused by magnesium-containing cathartics.,verified_against_pubmed_abstract
AQ-K4-29988705,AE-K4-29988705,https://pubmed.ncbi.nlm.nih.gov/29988705/,PubMed abstract,AIM: This study aimed to clarify the characteristics of patients who presented with severe hypermagnesemia and subsequently underwent emergency hemodialysis.,verified_against_pubmed_abstract
AQ-K4-37487817,AE-K4-37487817,https://pubmed.ncbi.nlm.nih.gov/37487817/,PubMed abstract,Diarrhea was the limiting factor.,verified_against_pubmed_abstract
AQ-K4-39218658,AE-K4-39218658,https://pubmed.ncbi.nlm.nih.gov/39218658/,PubMed abstract,"While decreased renal function is a known risk factor for hypermagnesemia caused by magnesium oxide (MgO), few studies have comprehensively investigated other contributing factors.",verified_against_pubmed_abstract
AQ-K5-2407097,AE-K5-2407097,https://pubmed.ncbi.nlm.nih.gov/2407097/,PubMed abstract,This is a review of the literature on manifestations of toxicity at several levels of zinc intake.,verified_against_pubmed_abstract
AQ-K5-37640593,AE-K5-37640593,https://pubmed.ncbi.nlm.nih.gov/37640593/,PubMed abstract,Copper deficiency is an uncommon condition primarily affecting the hematologic and neurologic systems.,verified_against_pubmed_abstract
AQ-K5-37736439,AE-K5-37736439,https://pubmed.ncbi.nlm.nih.gov/37736439/,PubMed abstract,"However, zinc over-supplementation in this population can lead to hypocupremia, causing various presentations such as anemia, paresthesia, and gait disturbances.",verified_against_pubmed_abstract
AQ-K5-38846187,AE-K5-38846187,https://pubmed.ncbi.nlm.nih.gov/38846187/,PubMed abstract,"Sideroblastic anemia is characterized by anemia, granulocytopenia, and bone marrow findings of vacuolated precursors and ringed sideroblasts.",verified_against_pubmed_abstract
