seed_id,node_id,pmid,doi,title,design,reason_for_seed,source_url,eligibility_status,verified_at_utc
SEED-K3-003,K3,24899360,,A rapid simple questionnaire to assess gastrointestinal symptoms after oral ferrous sulphate supplementation,randomized_controlled_trial,"Direct placebo-controlled symptom measurement",https://pubmed.ncbi.nlm.nih.gov/24899360/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K3-004,K3,37010569,10.1007/s00277-023-05198-2,A randomized controlled trial of thrice-weekly versus thrice-daily oral ferrous fumarate treatment in adult patients with iron-deficiency anemia,randomized_controlled_trial,"Schedule comparison with adverse-event outcomes",https://pubmed.ncbi.nlm.nih.gov/37010569/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K4-001,K4,30805197,,Risk factors for the development of hypermagnesemia in patients prescribed magnesium oxide: a retrospective cohort study,cohort,"Dose duration and renal-function risk factors",https://pubmed.ncbi.nlm.nih.gov/30805197/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K4-002,K4,30136128,10.1007/s13730-018-0359-5,Severe hypermagnesemia induced by magnesium oxide ingestion: a case series,case_series,"Severe signal in older adults with renal dysfunction",https://pubmed.ncbi.nlm.nih.gov/30136128/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K4-003,K4,29988705,,The characteristics of patients with hypermagnesemia who underwent emergency hemodialysis,case_series,"Clinical severity and kidney-function context",https://pubmed.ncbi.nlm.nih.gov/29988705/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K4-004,K4,37487817,,Perspective: Call for Re-evaluation of the Tolerable Upper Intake Level for Magnesium Supplementation in Adults,perspective_with_structured_review,"Diarrhea endpoint and supplement-dose evidence map",https://pubmed.ncbi.nlm.nih.gov/37487817/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K4-005,K4,39218658,10.1248/yakushi.24-00099,Risk Factors Analysis for Hypermagnesemia with Magnesium Oxide,cohort,"Recent dose and renal-risk threshold study",https://pubmed.ncbi.nlm.nih.gov/39218658/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K5-001,K5,2407097,10.1093/ajcn/51.2.225,Zinc toxicity,review,"Classic dose-related toxicity and copper-deficiency review",https://pubmed.ncbi.nlm.nih.gov/2407097/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K5-002,K5,37640593,10.1016/j.ajem.2023.08.033,Severe copper deficiency anemia caused by zinc supplement use,case_report,"Direct zinc supplement copper-deficiency anemia signal",https://pubmed.ncbi.nlm.nih.gov/37640593/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K5-003,K5,37736439,10.7759/cureus.43856,Zinc-Induced Copper Deficiency as a Rare Cause of Neurological Deficit and Anemia,case_report,"Neurologic and hematologic outcomes after supplementation",https://pubmed.ncbi.nlm.nih.gov/37736439/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
SEED-K5-004,K5,38846187,10.7759/cureus.59796,Zinc-Containing Over-The-Counter Product Causing Sideroblastic Anemia and Neutropenia,case_report,"Direct OTC product and copper-deficiency outcomes",https://pubmed.ncbi.nlm.nih.gov/38846187/,candidate_not_full_text_adjudicated,2026-07-10T02:30:00Z
